,X_centroid,Y_centroid,Hoechst,AF1,CD31,Ki-67,AF2,CD163,CD20,CD4,CD8a,CD68,PD-L1,FOXP3,E-Cadherin,PD-1,CD45,Pan-CK,SMA,Cell type
90276,2064.1,4962.9,9527.46,1501.7743,864.5792,391.2435,484.7872,293.0225,994.9846,337.7246,284.6643,247.0721,316.6856,263.0461,245.9373,283.4551,420.8747,221.0591,318.7518,Others
90278,1947.0,4961.9,15281.1562,1254.0802,393.2236,374.9578,435.6835,275.7722,2941.0381,416.5992,291.5527,238.5907,350.6202,251.097,239.5021,280.1224,1740.8607,222.2616,284.1097,CD20+
90279,1959.1,4961.1,6916.8789,1450.7693,393.8462,349.1978,440.978,312.2308,6953.7144,371.8571,315.5275,327.7473,292.0769,243.1209,258.3517,305.6703,2939.3296,199.3517,287.6703,CD20+
90281,1963.2,4962.0,13274.5762,1224.1029,367.3457,382.4445,418.2675,276.6132,1350.0042,405.4239,294.1399,249.9342,305.609,250.1893,242.1235,293.4403,1161.9835,238.3416,288.1769,CD20+
90282,2018.5,4962.7,7214.0454,1472.233,437.7443,407.9871,489.2751,282.0,1216.576,578.0162,315.5307,304.3495,305.9806,290.7541,242.4434,272.9838,804.123,226.4078,340.5146,CD20+
90284,1971.2,4964.0,7569.2837,1484.511,379.2289,414.0219,465.3903,396.6991,1284.1709,617.5125,306.6693,418.4326,365.1489,268.6301,242.6473,295.243,1456.1034,228.3072,303.2257,CD20+
90285,2004.1,4962.1,12292.5146,1385.3429,378.2893,419.1214,447.5822,453.1179,1589.4143,1076.7322,392.2357,316.6357,357.7214,649.5679,240.5893,310.4107,1832.4679,230.7643,281.1321,Others
90286,2053.5,4963.0,8859.167,1600.3708,439.0417,459.075,504.5,302.2667,501.5208,374.2833,295.9917,274.3375,330.2083,251.525,243.95,301.55,1010.6917,224.3583,276.0542,Others
90287,1940.0,4962.7,9647.7871,1301.0142,376.7583,366.0427,441.2844,289.6303,2247.8293,565.9479,304.128,441.3318,387.1991,253.7251,240.9858,280.8625,1544.1659,229.4739,279.3649,CD20+
90289,1991.9,4964.0,10262.748,1371.8708,363.7479,692.6188,441.0479,300.4958,3523.5146,471.3521,310.5812,271.8354,313.2938,263.3188,248.0625,313.375,1199.7729,231.9708,283.7188,CD20+
90292,1955.3,4963.7,9983.4824,1418.7471,354.5402,356.8506,441.1839,298.8276,5754.8564,527.8391,304.4081,285.7931,312.7701,255.7299,235.9885,327.9885,2150.8794,233.4195,285.6782,CD20+
